Source Package,Protocol,URL,SHA256,Error
AGReader,http:,http://main.aminet.net/misc/unix/AGReader.tar.bz2,,Error [ERR_FR_TOO_MANY_REDIRECTS]: Maximum number of redirects exceeded
ArpON,http:,http://downloads.sourceforge.net/project/arpon/arpon/ArpON-3.0/ArpON-3.0-ng.tar.gz,,AxiosError: Request failed with status code 404
AtomicParsley,https:,https://bitbucket.org/wez/atomicparsley/overview/AtomicParsley-0.9.5.tar.gz,,AxiosError: Request failed with status code 404
BareBonesBrowserLaunch,http:,http://www.centerkey.com/java/browser/myapp/real/bare-bones-browser-launch-3.1.jar,,AxiosError: Request failed with status code 404
CardManager,http:,http://cardmanager.wz.cz/CardManager_sources3.zip,,AxiosError: Request failed with status code 404
Coin2,ftp:,ftp://ftp.coin3d.org/pub/coin/src/all/Coin-2.5.0.tar.gz,,AggregateError:  (control socket)
Coin3,https:,https://bitbucket.org/Coin3D/coin/downloads/Coin-3.1.3.tar.gz,,AxiosError: Request failed with status code 404
CriticalMass,http:,http://downloads.sourceforge.net/criticalmass/CriticalMass-1.5.tar.bz2,,AxiosError: Request failed with status code 404
CubicSDR,https:,https://github.com/cjcliffe/CubicSDR/archive/refs/tags/CubicSDR-0.2.7.tar.gz,,AxiosError: Request failed with status code 404
GeoIP-GeoLite-data,http:,http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz,,Error: getaddrinfo ENOTFOUND geolite.maxmind.com
GeoIP-GeoLite-data,http:,http://geolite.maxmind.com/download/geoip/database/GeoIPv6.dat.gz,,Error: getaddrinfo ENOTFOUND geolite.maxmind.com
GeoIP-GeoLite-data,http:,http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz,,Error: getaddrinfo ENOTFOUND geolite.maxmind.com
GeoIP-GeoLite-data,http:,http://geolite.maxmind.com/download/geoip/database/GeoLiteCityv6-beta/GeoLiteCityv6.dat.gz,,Error: getaddrinfo ENOTFOUND geolite.maxmind.com
