Source Package,Protocol,URL,SHA256,Error
0ad-data,http:,http://releases.wildfiregames.com/0ad-0.0.26-alpha-unix-data.tar.xz,b200e48558f882807910e3c686567b6a396248d9d418044ecfde090b05772d7d,
0install,https:,https://github.com/0install/0install/releases/download/v2.18/0install-2.18.tbz,648c4b318c1a26dfcb44065c226ab8ca723795924ad80a3bf39ae1ce0e9920c3,
0install,https:,https://github.com/0install/0install/releases/download/v2.18/0install-2.18.tbz.sig,ef394667d8161feee04566591eacb42fb8282e84bbe1103d6bdd8503ef10f227,
0ad,http:,http://releases.wildfiregames.com/0ad-0.0.26-alpha-unix-build.tar.xz,2e1c6df7e3312e77c5f82788664cffc3a78d3bf60606c00039275e1d13c0ee4b,
0xFFFF,https:,https://github.com/pali/0xFFFF/releases/download/0.10/0xFFFF-0.10.tar.gz,3bef85dcb4fa51644fbea8d60a5184a03f04ea634560d6f998e667ada392775c,
2048-cli,https:,https://github.com/Tiehuis/2048-cli/archive/v0.9.1.tar.gz#/2048-cli-0.9.1.tar.gz,acee3d596f05b881d4076803c6ed91a76f0e77aec3c9adb0e80504710a8f9dab,
2ping,https:,https://www.finnie.org/software/2ping/2ping-4.5.1.tar.gz,b56beb1b7da1ab23faa6d28462bcab9785021011b3df004d5d3c8a97ed7d70d8,
389-ds-base,https:,https://github.com/jemalloc/jemalloc/releases/download/5.3.0/jemalloc-5.3.0.tar.bz2,2db82d1e7119df3e71b7640219b6dfe84789bc0537983c3b7ac4f7189aecfeaa,
3dprinter-udev-rules,https:,https://github.com/hroncok/3dprinter-udev-rules/archive/v0.3.tar.gz,5636f0646cbbf49b406e9fa490aa006ec543a788acf95d7caae7c6f73273c042,
3mux,https:,https://github.com/aaronjanse/3mux/archive/v1.1.0/3mux-1.1.0.tar.gz,0f4dae181914c73eaa91bdb21ee0875f21b5da64c7c9d478f6d52a2d0aa2c0ea,
