Source Package,URL_lookaside,SHA256_lookaside,Error_lookaside,File Name,Protocol,URL_source,SHA256_source,Error_source,SHA256_match,has_error,File Extension,source_number,num_versions_uploaded_to_lookaside,status,Error_source_normalized
BibTool,https://src.fedoraproject.org/repo/pkgs/BibTool/BibTool-2.68.tar.gz/sha512/3503f2a590064aa3f3ee26d87d403ef5b85094852f987ae9d57d8b9688c516b64dc202007ce16c01800563008cc29e5de216ada9d9d59383695c25ec57e500b4/BibTool-2.68.tar.gz,7134ce3a05fe94c04b88f18261139656ac4c0c0893de15acc0daabc90248b8fa,,BibTool-2.68.tar.gz,https:,https://github.com/ge-ne/bibtool/releases/download/BibTool_2_68/BibTool-2.68.tar.gz,e1964d199b0726f431f9a1dc4ff7257bb3dba879b9fa221803e0aa7840dee0e0,,false,false,tar.gz,0,1,very_suspicious,
CCfits,https://src.fedoraproject.org/repo/pkgs/CCfits/CCfits-2.6.tar.gz/sha512/9b669d2e69e2d707a6f48dc64646b2ad87a5a5026692101e1cc7171f6a306c1d9d47b6554aeca02715a3bb13500b5bf34d77e148942f4282ad7d7c4008edbc80/CCfits-2.6.tar.gz,2bb439db67e537d0671166ad4d522290859e8e56c2f495c76faa97bc91b28612,,CCfits-2.6.tar.gz,http:,http://heasarc.gsfc.nasa.gov/docs/software/fitsio/ccfits/CCfits-2.6.tar.gz,c8395e80379df4e2a63b0890166fb47be4b96dff977214e7ed10ea9d3e9e9a9e,,false,false,tar.gz,0,1,very_suspicious,
ClanLib,https://src.fedoraproject.org/repo/pkgs/ClanLib/ClanLib-2.3.7.tgz/md5/65c9881286c47bbe88b2b691aacbc05b/ClanLib-2.3.7.tgz,d46127c08103f48d15936ceb9f95b3dfb1ff8ccba667cef1b3f8e639cb2601c2,,ClanLib-2.3.7.tgz,http:,http://www.clanlib.org/download/releases-2.0/ClanLib-2.3.7.tgz,a464cb04983abe4461b0301bc42abc15f4ed9449496e804cba242f026ed9b4bc,,false,false,tgz,0,1,very_suspicious,
ClanLib1,https://src.fedoraproject.org/repo/pkgs/ClanLib1/ClanLib-1.0.0.tgz/md5/281e64a463155474d0f1270686286811/ClanLib-1.0.0.tgz,2a296c30be30b42866666a2d43815c78345c7d78ef2126e2dc1694405dfd67f9,,ClanLib-1.0.0.tgz,http:,http://www.clanlib.org/download/releases-1.0/ClanLib-1.0.0.tgz,8143fabd3d10b913e504e2d7238d6ce1873def4e9f426af667f8ff49340f5049,,false,false,tgz,0,1,very_suspicious,
OpenLP,https://src.fedoraproject.org/repo/pkgs/OpenLP/OpenLP-3.1.2.tar.gz/sha512/4f7574e2d5931024aaab1b0af4879002a97e596e0a23d00210f9930c86f9c3094d4c54acf09015c1cdf2aa6f8a64f961b10ea76ec28cfef99620a622656bc769/OpenLP-3.1.2.tar.gz,856d50dbf62e4f6ba26b9391fe8abc6b78e7e7bb2bcafedad6f0478d933b8b7c,,OpenLP-3.1.2.tar.gz,https:,https://get.openlp.org/3.1.2/OpenLP-3.1.2.tar.gz,3a86d9fad80af0005ede78b5fe48854b31ed4e17f874013918acf750672fcfaf,,false,false,tar.gz,0,1,very_suspicious,
OpenMolcas,https://src.fedoraproject.org/repo/pkgs/OpenMolcas/OpenMolcas-24.06.tar.bz2/sha512/c200d450f6302b69cdbd220f37c52e57d53dbead6326378a8432179ee73ab54d8fae9b261bdffcb5d3e11401d49d65c7deff97fbaa2d8e822a89c53a58216449/OpenMolcas-24.06.tar.bz2,3ac1621af6d33dea2721ec91d0cbb0ccc89169942bed57a54b73060187c09e6c,,OpenMolcas-24.06.tar.bz2,https:,https://gitlab.com/Molcas/OpenMolcas/-/archive/v24.06/OpenMolcas-24.06.tar.bz2,1967114baf8dad078c145700a3f5bb7e0e30d881d027e066b63de93a6f856517,,false,false,tar.bz2,0,1,very_suspicious,
R-combinat,https://src.fedoraproject.org/repo/pkgs/R-combinat/combinat_0.0-8.tar.gz/md5/f50d1b850c8d7663317179f2023e2b02/combinat_0.0-8.tar.gz,fc6dae73266e69891b59e6e11661247fe44c9a3f56277c8bbe0c10bb79382f67,,combinat_0.0-8.tar.gz,http:,http://cran.r-project.org/src/contrib/combinat_0.0-8.tar.gz,1513cf6b6ed74865bfdd9f8ca58feae12b62f38965d1a32c6130bef810ca30c1,,false,false,tar.gz,0,1,very_suspicious,
R2spec,https://src.fedoraproject.org/repo/pkgs/R2spec/R2spec-5.0.0.tar.gz/sha512/500f356c69583ab91f88404e8d7acdad1446120bf2c98ef3cdaa653c70e447fdf22fb50875675bdf86ba14d30290276ac3ea688af6f2065c32a9fcfe9fcb0ea2/R2spec-5.0.0.tar.gz,3aec134b4f76f3eac29ace6b4d8d4cc4961286f78837134669fd4e8335d2a024,,R2spec-5.0.0.tar.gz,https:,https://fedorahosted.org/releases/r/2/r2spec/R2spec-5.0.0.tar.gz,2a815ec616544c2ed3582b73e3d4de198d634eab6e53215a690da3dbfa7c799b,,false,false,tar.gz,0,1,very_suspicious,
SDL2_gfx,https://src.fedoraproject.org/repo/pkgs/SDL2_gfx/SDL2_gfx-1.0.4.tar.gz/sha512/81a100d3c8c3a7c6bd37a23f1290ff10685f8e62fbecd83b0086aae4edc721483e2153cd4219fbd9168f115eea0ea6b25f9be375faf5761f0babdfb1b52fe482/SDL2_gfx-1.0.4.tar.gz,63e0e01addedc9df2f85b93a248f06e8a04affa014a835c2ea34bfe34e576262,,SDL2_gfx-1.0.4.tar.gz,http:,http://www.ferzkopp.net/Software/SDL2_gfx/SDL2_gfx-1.0.4.tar.gz,8b5048f99c006f3d3e53d1a049576a789dec2f5683157e36849bbc5c878778fc,,false,false,tar.gz,0,1,very_suspicious,
SDL_gfx,https://src.fedoraproject.org/repo/pkgs/SDL_gfx/SDL_gfx-2.0.27.tar.gz/sha512/a137f986c8bb63e54f6efa75f13cf75bc185f7891e13e135e521493e80b36c921997b6c5d60e997fc4a1b8a51288374d9c3e5c439dafc0c05c9609203f5d75f9/SDL_gfx-2.0.27.tar.gz,dfb15ac5f8ce7a4952dc12d2aed9747518c5e6b335c0e31636d23f93c630f419,,SDL_gfx-2.0.27.tar.gz,http:,http://www.ferzkopp.net/Software/SDL_gfx-2.0/SDL_gfx-2.0.27.tar.gz,476fb4f140ce4a54753fa2d243a8e54a781f13f2f1d0c52e123b07490498476e,,false,false,tar.gz,0,1,very_suspicious,
